dataset,pairwise_f1,fp_measure,cost_usd,tokens_total,llm_time_s,api_calls,acc,nmi,ari
cora,0.5045,0.7326,0.0466,304609,243.2,1940,0.5483,0.7466,0.4977
Walmart_Amazon,0.4075,0.7545,0.0433,280644,437.9,2710,0.6062,0.9214,0.4074
Amazon-Google,0.2724,0.7174,0.0398,255350,481.3,3240,0.5359,0.9178,0.2720
affiliation,0.4639,0.6708,0.0358,228340,539.0,3390,0.4991,0.7991,0.4620
song,0.3935,0.6131,0.1273,826849,1179.2,7280,0.4343,0.8668,0.3933
google-DBLP,0.5599,0.7430,0.1916,1243070,2031.8,11440,0.5750,0.9113,0.5597
citeseer,0.5385,0.7019,0.2358,1530749,999.9,13690,0.5351,0.9030,0.5384
sigmod,0.4147,0.6279,0.3765,2455911,2205.2,18010,0.4560,0.8035,0.4142
music20K,0.5279,0.8198,0.4276,2763596,4878.3,29060,0.6894,0.9471,0.5279
