dataset,n_records,n_pred_clusters,n_gt_clusters,acc,fp_measure,nmi,ari,purity,inv_purity,bcubed_f1,bcubed_p,bcubed_r,pair_p,pair_r,pair_f1,api_calls,in_tokens,out_tokens,cost_usd,llm_time_s,log
cora,1295,277,112,0.512,0.6776,0.8645,0.3942,0.9815,0.5174,0.592,0.9724,0.4255,0.9788,0.1162,0.2077,1295,3851606,9083,2.9296,1.8,results/eval_llmcer/run_20260627_150850/cora.log
Walmart_Amazon,1808,861,846,0.979,0.9892,0.9975,0.9663,0.9928,0.9856,0.988,0.9926,0.9835,0.9926,0.8058,0.8895,1808,5151656,12794,3.9213,174.7,results/eval_llmcer/run_20260627_150850/Walmart_Amazon.log
Amazon-Google,2161,979,995,0.8681,0.9153,0.9802,0.7618,0.8954,0.9361,0.9072,0.8867,0.9287,0.8599,0.6811,0.7601,2161,8068084,15613,6.1213,236.7,results/eval_llmcer/run_20260627_150850/Amazon-Google.log
affiliation,2260,741,330,0.5438,0.6964,0.9011,0.393,0.9637,0.5451,0.6146,0.9508,0.4541,0.9407,0.1688,0.2862,2260,5448152,15982,4.158,3.5,results/eval_llmcer/run_20260627_150850/affiliation.log
song,4854,1831,1195,0.8078,0.8919,0.9733,0.7757,0.9911,0.8107,0.8633,0.989,0.7659,0.9922,0.2481,0.3969,4854,12925007,34350,9.8483,7.7,results/eval_llmcer/run_20260627_150850/song.log
google-DBLP,7626,2592,2351,0.9361,0.9652,0.9914,0.8949,0.9929,0.939,0.956,0.9913,0.9232,0.9932,0.3109,0.4735,7626,25989903,54096,19.7359,12.2,results/eval_llmcer/run_20260627_150850/google-DBLP.log
citeseer,9127,2962,2496,0.9056,0.9504,0.9898,0.8908,1.0,0.9056,0.9422,1.0,0.8907,1.0,0.3334,0.5,9127,35361767,64135,26.8099,14.6,results/eval_llmcer/run_20260627_150850/citeseer.log
sigmod,12007,3575,1484,0.5653,0.7214,0.9212,0.3659,0.99,0.5674,0.6363,0.9864,0.4696,0.991,0.1719,0.293,12007,46053053,84139,34.9184,19.1,results/eval_llmcer/run_20260627_150850/sigmod.log
music20K,19375,10113,10000,0.9709,0.9848,0.997,0.9572,0.9901,0.9795,0.9813,0.9877,0.9751,0.9856,0.4457,0.6139,19375,61441940,145579,46.7366,32.0,results/eval_llmcer/run_20260627_150850/music20K.log
